gender,title,first,last,street_number,street_name,city,state,country,postcode,latitude,longitude,timezone_offset,timezone_description,email,dob_date,dob_age,phone,id_name,id_value,nationality,hotel_name,hotel_street_number,hotel_street_name,hotel_city,hotel_state,hotel_country,hotel_postcode,hotel_email,hotel_phone,hotel_website,room_number,room_type,room_type_description,room_capacity,room_nightly_rate,reservation_start_date,reservation_end_date,reservation_total_cost,payment_date,payment_type,payment_amount,transaction_id,payment_notes,rating,review_title,review_text,review_date
female,Mrs,Lorena,"Solís",1445,"Boulevard Lesotho","El Sauzal",Jalisco,Mexico,36586,-7.7987,65.1679,+3:30,Tehran,lorena.solis@example.com,1989-12-15T17:10:39.395Z,34,"(603) 817 1175",NSS,"52 78 22 9794 3",MX,"Westin New York Times Square",422,"New York Times Square",Westin,NY,US,10001,info@westinnytimes.example,"(212) 555-5555",http://www.westinnytimes.example,141,Deluxe,"Spacious room with upgraded furnishings",3,120,2022-11-23,2022-12-03,1200,2022-11-23,"Credit Card",1200,82175341,"",1,"Completely unacceptable","Our room hadn't been cleaned from the previous guests, there was no hot water, and the front desk staff were completely unhelpful. Ruined our weekend getaway.",2022-12-06
male,Mr,Timoteo,Leyva,9482,"Pasaje Tello",Bavispe,Nayarit,Mexico,24440,53.7178,76.0103,+5:45,Kathmandu,timoteo.leyva@example.com,1999-04-14T09:13:43.495Z,25,"(671) 413 0709",NSS,"87 01 02 7040 2",MX,"Westin New York Times Square",422,"New York Times Square",Westin,NY,US,10001,info@westinnytimes.example,"(212) 555-5555",http://www.westinnytimes.example,179,Deluxe,"Spacious room with upgraded furnishings",3,120,2024-04-06,2024-04-13,840,2024-04-06,"Credit Card",840,89656352,"",5,"Gem in the heart of the city","This hotel was surprisingly affordable, perfectly located near all the main attractions, and the staff offered exceptional service. We'll definitely stay here again. ",2024-04-12
female,Mrs,Nieves,"Román",781,"Calle Mota",Oviedo,Cantabria,Spain,80339,-80.9375,160.197,+3:30,Tehran,nieves.roman@example.com,1957-07-15T13:46:37.155Z,66,930-832-404,DNI,37875110-E,ES,"Latham Hotel",78,Latham,Latham,Saxony,DE,20052,info@latham.example,"(617) 222-2222",http://www.latham.example,435,"Presidential Suite","The ultimate in luxury, with multiple bedrooms, living areas, and premium amenities",6,758,2022-11-14,2022-11-20,4548,2022-11-14,Cash,2274,76734479,"",2,"Not worth the price","For the amount we paid, I expected far better service and quality. The room was cramped, the view was terrible, and everything felt run-down.",2022-11-17
male,Mr,Simon,Taylor,7684,"Stanley Way","St. Antoine","Northwest Territories",Canada,"K7O 0S9",44.0453,-131.8331,+6:00,"Almaty, Dhaka, Colombo",simon.taylor@example.com,2000-08-05T12:40:24.836Z,23,"F15 H49-5731",SIN,112943667,CA,"Westin New York Times Square",422,"New York Times Square",Westin,NY,US,10001,info@westinnytimes.example,"(212) 555-5555",http://www.westinnytimes.example,448,"Family Room","Spacious accommodations for the whole family, may include bunk beds or connecting rooms",5,156,2022-06-28,2022-07-06,1248,2022-06-28,"Credit Card",1248,81812165,"",4,"Charming and comfortable getaway","This hotel had a lovely, intimate atmosphere. The staff were friendly, the pool area was relaxing, and it was the perfect location for exploring the city.",2022-06-30
female,Ms,Rony,Valckx,7353,Godfriedstraat,Losdorp,Overijssel,Netherlands,"1356 JO",-67.0787,156.4832,-3:30,Newfoundland,rony.valckx@example.com,1995-01-25T12:38:50.051Z,29,"(0884) 681513",BSN,43436475,NL,"Hampton Inn Madison Square Garden Area Hotel",151,"Madison Square Garden Area",Hampton,MA,US,02138,info@hamptoninn.example,"(617) 222-2222",http://www.hamptoninn.example,143,Standard,"Cozy room with essential amenities",2,85,2023-10-02,2023-10-16,1190,2023-10-02,"Bank Transfer",1190,46907741,"",3,"Mixed feelings","The location was great and the bed was comfortable, but the constant construction noise, lackluster breakfast, and unresponsive staff left a lot to be desired.",2023-10-24
male,Monsieur,Aurelio,Lecomte,703,"Rue Gasparin","Büren an der Aare",Schwyz,Switzerland,7891,30.262,43.6919,+5:45,Kathmandu,aurelio.lecomte@example.com,1982-06-20T04:20:29.482Z,41,"079 854 32 02",AVS,756.0014.4983.00,CH,"Latham Hotel",78,Latham,Latham,Saxony,DE,20052,info@latham.example,"(617) 222-2222",http://www.latham.example,213,Standard,"Cozy room with essential amenities",2,85,2023-09-05,2023-09-08,255,2023-09-05,"Bank Transfer",63.75,22956991,"",2,"Not worth the price","For the amount we paid, I expected far better service and quality. The room was cramped, the view was terrible, and everything felt run-down.",2023-09-08
female,Miss,Dragica,"Srejović",7727,"Siniše Nikolajevića","Sremski Karlovci",Bor,Serbia,61328,-57.685,95.9145,-4:00,"Atlantic Time (Canada), Caracas, La Paz",dragica.srejovic@example.com,1955-01-26T06:38:30.214Z,69,018-2124-140,SID,191233130,RS,"Pickwick Arms Hotel",8,"Pickwick Arms",Pickwick,Hamburg,DE,20149,info@pickwickarms.example,"(0151) 555-5555",http://www.pickwickarms.example,188,"Presidential Suite","The ultimate in luxury, with multiple bedrooms, living areas, and premium amenities",6,758,2022-09-04,2022-09-13,6822,2022-09-04,"Credit Card",6822,39095184,"",4,"Charming and comfortable getaway","This hotel had a lovely, intimate atmosphere. The staff were friendly, the pool area was relaxing, and it was the perfect location for exploring the city.",2022-09-10
female,Ms,Bedete,Nascimento,7714,"Rua São José ",Igarassu,"Maranhão",Brazil,90383,87.7475,167.7625,-5:00,"Eastern Time (US & Canada), Bogota, Lima",bedete.nascimento@example.com,1995-02-03T15:09:15.701Z,29,"(31) 5386-7746",CPF,694.753.107-66,BR,"Courtyard By Marriott",30,"By Marriott",Courtyard,MA,US,02138,info@courtyardbymarriott.example,"(617) 222-2222",http://www.courtyardbymarriott.example,385,"Family Room","Spacious accommodations for the whole family, may include bunk beds or connecting rooms",5,156,2022-06-05,2022-06-10,780,2022-06-05,"Bank Transfer",780,49667091,"",1,"Completely unacceptable","Our room hadn't been cleaned from the previous guests, there was no hot water, and the front desk staff were completely unhelpful. Ruined our weekend getaway.",2022-06-14
female,Miss,Vlatka,"Spasić",7057,"Trinaestog Septembra","Preševo","Nišava",Serbia,93652,63.8746,76.7416,-11:00,"Midway Island, Samoa",vlatka.spasic@example.com,1960-11-20T19:25:13.400Z,63,034-1037-038,SID,368438128,RS,"Pickwick Arms Hotel",8,"Pickwick Arms",Pickwick,Hamburg,DE,20149,info@pickwickarms.example,"(0151) 555-5555",http://www.pickwickarms.example,399,Suite,"Luxurious suite with separate living area",4,243,2023-02-16,2023-02-23,1701,2023-02-16,"Credit Card",1701,79291409,"",1,"Dreadful experience, never again","The room was filthy, the staff were rude, and the noise level was unbearable.  Worst hotel stay I've ever had.",2023-02-27
male,Mr,"Oğuzhan","Çamdalı",8813,"Fatih Sultan Mehmet Cd",Mersin,Sivas,Turkey,42992,-67.8543,-98.2613,+10:00,"Eastern Australia, Guam, Vladivostok",oguzhan.camdali@example.com,1955-06-12T02:52:09.341Z,68,(696)-537-1401,"","",TR,"Pickwick Arms Hotel",8,"Pickwick Arms",Pickwick,Hamburg,DE,20149,info@pickwickarms.example,"(0151) 555-5555",http://www.pickwickarms.example,484,"Family Room","Spacious accommodations for the whole family, may include bunk beds or connecting rooms",5,156,2023-09-04,2023-09-18,2184,2023-09-04,"Bank Transfer",1638,93092547,"",2,"Majorly disappointed","The pictures online were completely misleading. The pool was tiny, the amenities were outdated, and the breakfast was inedible. ",2023-09-08
male,Mr,Noah,Haukland,1883,Jomfruhagen,Leira,Bergen,Norway,4072,48.7787,96.6175,-7:00,"Mountain Time (US & Canada)",noah.haukland@example.com,2000-04-01T19:17:08.040Z,24,28169891,FN,01040094772,NO,"Latham Hotel",78,Latham,Latham,Saxony,DE,20052,info@latham.example,"(617) 222-2222",http://www.latham.example,307,"Family Room","Spacious accommodations for the whole family, may include bunk beds or connecting rooms",5,156,2022-08-14,2022-08-24,1560,2022-08-14,"Bank Transfer",1170,77394922,"",4,"Charming and comfortable getaway","This hotel had a lovely, intimate atmosphere. The staff were friendly, the pool area was relaxing, and it was the perfect location for exploring the city.",2022-08-20
female,Ms,Emilie,Lavoie,3679,"Stanley Way","Trout Lake",Manitoba,Canada,"B6J 7C4",6.2583,-82.9442,+8:00,"Beijing, Perth, Singapore, Hong Kong",emilie.lavoie@example.com,1954-05-14T08:31:00.735Z,69,"K25 Y31-1352",SIN,757948237,CA,"Hampton Inn Madison Square Garden Area Hotel",151,"Madison Square Garden Area",Hampton,MA,US,02138,info@hamptoninn.example,"(617) 222-2222",http://www.hamptoninn.example,269,"Presidential Suite","The ultimate in luxury, with multiple bedrooms, living areas, and premium amenities",6,758,2023-02-23,2023-02-26,2274,2023-02-23,"Credit Card",1137,65074912,"",3,"Mixed feelings","The location was great and the bed was comfortable, but the constant construction noise, lackluster breakfast, and unresponsive staff left a lot to be desired.",2023-03-01
male,Mr,Janko,"Stojanović",7112,Brehtova,"Petrovac na Mlavi","Kosovska Mitrovica",Serbia,98905,89.1353,162.5864,+3:00,"Baghdad, Riyadh, Moscow, St. Petersburg",janko.stojanovic@example.com,2001-02-14T15:51:40.112Z,23,010-5884-960,SID,041547116,RS,"Westin New York Times Square",422,"New York Times Square",Westin,NY,US,10001,info@westinnytimes.example,"(212) 555-5555",http://www.westinnytimes.example,369,Deluxe,"Spacious room with upgraded furnishings",3,120,2023-05-28,2023-06-03,720,2023-05-28,"Credit Card",360,41018698,"",2,"Majorly disappointed","The pictures online were completely misleading. The pool was tiny, the amenities were outdated, and the breakfast was inedible. ",2023-05-29
male,Monsieur,Aurelio,Colin,1570,"Avenue de L'Abbé-Roussel",Marchissy,"Zürich",Switzerland,6115,-48.4085,83.8431,+3:30,Tehran,aurelio.colin@example.com,1979-12-19T04:05:18.798Z,44,"079 811 42 97",AVS,756.9839.2341.67,CH,"Courtyard By Marriott",30,"By Marriott",Courtyard,MA,US,02138,info@courtyardbymarriott.example,"(617) 222-2222",http://www.courtyardbymarriott.example,347,"Family Room","Spacious accommodations for the whole family, may include bunk beds or connecting rooms",5,156,2023-06-08,2023-06-14,936,2023-06-08,Cash,468,16632461,"",5,"Family-friendly paradise","Our kids absolutely loved this hotel! The activities were top-notch, the staff went out of their way, and the beach was beautiful.  Best family vacation ever.",2023-06-18
female,Mrs,Anzhela,Tyutyunnik,5441,"Lva Tolstogo",Kagarlik,Sumska,Ukraine,29683,-86.1369,8.6954,+8:00,"Beijing, Perth, Singapore, Hong Kong",anzhela.tyutyunnik@example.com,1963-11-02T18:23:12.376Z,60,"(097) C28-3106","","",UA,"Courtyard By Marriott",30,"By Marriott",Courtyard,MA,US,02138,info@courtyardbymarriott.example,"(617) 222-2222",http://www.courtyardbymarriott.example,200,"Presidential Suite","The ultimate in luxury, with multiple bedrooms, living areas, and premium amenities",6,758,2022-06-10,2022-06-17,5306,2022-06-10,Cash,0,63271965,"",2,"Majorly disappointed","The pictures online were completely misleading. The pool was tiny, the amenities were outdated, and the breakfast was inedible. ",2022-06-15
female,Mrs,Ella,Madsen,1579,Solvej,"Århus C.",Nordjylland,Denmark,77898,8.1775,-15.0846,-12:00,"Eniwetok, Kwajalein",ella.madsen@example.com,1953-09-06T23:39:18.235Z,70,01795732,CPR,060953-8304,DK,"Pickwick Arms Hotel",8,"Pickwick Arms",Pickwick,Hamburg,DE,20149,info@pickwickarms.example,"(0151) 555-5555",http://www.pickwickarms.example,441,"Family Room","Spacious accommodations for the whole family, may include bunk beds or connecting rooms",5,156,2023-08-08,2023-08-15,1092,2023-08-08,Cash,1092,98186944,"",4,"Charming and comfortable getaway","This hotel had a lovely, intimate atmosphere. The staff were friendly, the pool area was relaxing, and it was the perfect location for exploring the city.",2023-08-15
male,Mr,Gabriel,Novak,5660,"Pierre Ave",Havelock,Manitoba,Canada,"W1T 3T1",64.2543,-134.026,+5:30,"Bombay, Calcutta, Madras, New Delhi",gabriel.novak@example.com,1970-10-01T12:20:41.796Z,53,"P32 Y39-1109",SIN,784519472,CA,"Pickwick Arms Hotel",8,"Pickwick Arms",Pickwick,Hamburg,DE,20149,info@pickwickarms.example,"(0151) 555-5555",http://www.pickwickarms.example,119,Deluxe,"Spacious room with upgraded furnishings",3,120,2023-05-06,2023-05-20,1680,2023-05-06,Cash,420,85478469,"",5,"Exceeded all expectations!","From the moment we arrived, we were treated with such warmth and hospitality.  The rooms were immaculate, the views breathtaking, and the food was incredible.  We'll absolutely be back!",2023-05-18
female,Mrs,Nelya,Bablyak,2805,Vovchinecka,Berezivka,Donecka,Ukraine,36829,-30.5773,16.9399,+10:00,"Eastern Australia, Guam, Vladivostok",nelya.bablyak@example.com,1999-08-24T21:40:22.117Z,24,"(098) Y05-6870","","",UA,"Westin New York Times Square",422,"New York Times Square",Westin,NY,US,10001,info@westinnytimes.example,"(212) 555-5555",http://www.westinnytimes.example,279,Standard,"Cozy room with essential amenities",2,85,2022-12-04,2022-12-16,1020,2022-12-04,"Bank Transfer",510,32905971,"",1,"Completely unacceptable","Our room hadn't been cleaned from the previous guests, there was no hot water, and the front desk staff were completely unhelpful. Ruined our weekend getaway.",2022-12-23
male,Mr,Ryan,Walker,7039,"Bay Ave",Chatham,Yukon,Canada,"F3S 3H0",30.4189,145.9484,+9:00,"Tokyo, Seoul, Osaka, Sapporo, Yakutsk",ryan.walker@example.com,1973-03-31T17:15:32.289Z,51,"E87 I60-1380",SIN,593748072,CA,"Hampton Inn Madison Square Garden Area Hotel",151,"Madison Square Garden Area",Hampton,MA,US,02138,info@hamptoninn.example,"(617) 222-2222",http://www.hamptoninn.example,111,"Presidential Suite","The ultimate in luxury, with multiple bedrooms, living areas, and premium amenities",6,758,2022-09-08,2022-09-21,9854,2022-09-08,Cash,2463.5,78768625,"",4,"Luxurious and relaxing","The spa treatments were divine, the room was spacious and well-appointed, and the overall ambiance was perfect for unwinding. Highly recommended.",2022-09-27
female,Mrs,June,Sutton,2200,"Shady Ln Dr","Jersey City",Tennessee,"United States",82545,-33.455,79.0551,-10:00,Hawaii,june.sutton@example.com,1965-03-26T10:55:24.919Z,59,"(325) 414-4251",SSN,286-23-2985,US,"Westin New York Times Square",422,"New York Times Square",Westin,NY,US,10001,info@westinnytimes.example,"(212) 555-5555",http://www.westinnytimes.example,490,Suite,"Luxurious suite with separate living area",4,243,2022-07-27,2022-08-06,2430,2022-07-27,Cash,0,33637464,"",1,"Dreadful experience, never again","The room was filthy, the staff were rude, and the noise level was unbearable.  Worst hotel stay I've ever had.",2022-08-12
female,Ms,Nalan,Bademci,9665,"Abanoz Sk","İzmir",Edirne,Turkey,51427,-17.4845,-37.3336,+9:30,"Adelaide, Darwin",nalan.bademci@example.com,1944-12-19T19:03:57.576Z,79,(726)-132-0593,"","",TR,"Pickwick Arms Hotel",8,"Pickwick Arms",Pickwick,Hamburg,DE,20149,info@pickwickarms.example,"(0151) 555-5555",http://www.pickwickarms.example,216,Suite,"Luxurious suite with separate living area",4,243,2023-07-01,2023-07-10,2187,2023-07-01,Cash,2187,43419551,"",5,"Exceeded all expectations!","From the moment we arrived, we were treated with such warmth and hospitality.  The rooms were immaculate, the views breathtaking, and the food was incredible.  We'll absolutely be back!",2023-07-14
male,Mr,Josep,"Peña",5218,"Calle de Ferraz","Santa Cruz de Tenerife",Asturias,Spain,60129,-87.6748,-173.6816,-4:00,"Atlantic Time (Canada), Caracas, La Paz",josep.pena@example.com,2001-05-16T13:51:03.042Z,22,965-068-721,DNI,48175551-C,ES,"Pickwick Arms Hotel",8,"Pickwick Arms",Pickwick,Hamburg,DE,20149,info@pickwickarms.example,"(0151) 555-5555",http://www.pickwickarms.example,160,Suite,"Luxurious suite with separate living area",4,243,2022-10-06,2022-10-10,972,2022-10-06,"Bank Transfer",486,17194808,"",4,"Luxurious and relaxing","The spa treatments were divine, the room was spacious and well-appointed, and the overall ambiance was perfect for unwinding. Highly recommended.",2022-10-10
female,Mrs,Iara,Pinto,8851,"Rua Rui Barbosa ","Ilhéus",Alagoas,Brazil,11143,-56.9566,-4.8679,-12:00,"Eniwetok, Kwajalein",iara.pinto@example.com,1983-11-11T16:35:32.694Z,40,"(60) 9164-0305",CPF,537.459.398-17,BR,"Latham Hotel",78,Latham,Latham,Saxony,DE,20052,info@latham.example,"(617) 222-2222",http://www.latham.example,264,"Presidential Suite","The ultimate in luxury, with multiple bedrooms, living areas, and premium amenities",6,758,2023-01-20,2023-01-27,5306,2023-01-20,"Bank Transfer",2653,51554172,"",1,"Dreadful experience, never again","The room was filthy, the staff were rude, and the noise level was unbearable.  Worst hotel stay I've ever had.",2023-02-01
female,Mademoiselle,"Danièle",Lecomte,2279,"Rue Barrier",Lichtensteig,Valais,Switzerland,1323,67.0514,-91.7689,-6:00,"Central Time (US & Canada), Mexico City",daniele.lecomte@example.com,1945-10-02T03:41:17.922Z,78,"078 262 59 97",AVS,756.9057.0746.84,CH,"Pickwick Arms Hotel",8,"Pickwick Arms",Pickwick,Hamburg,DE,20149,info@pickwickarms.example,"(0151) 555-5555",http://www.pickwickarms.example,121,Standard,"Cozy room with essential amenities",2,85,2022-05-08,2022-05-12,340,2022-05-08,Cash,340,94896074,"",2,"Not worth the price","For the amount we paid, I expected far better service and quality. The room was cramped, the view was terrible, and everything felt run-down.",2022-05-12
male,Mr,Anthony,Singh,2537,"Bay Ave",Cornwall,"Nova Scotia",Canada,"L7Y 9L0",76.5455,124.2741,+5:00,"Ekaterinburg, Islamabad, Karachi, Tashkent",anthony.singh@example.com,1992-12-05T11:05:51.385Z,31,"J02 W42-2775",SIN,210627881,CA,"Pickwick Arms Hotel",8,"Pickwick Arms",Pickwick,Hamburg,DE,20149,info@pickwickarms.example,"(0151) 555-5555",http://www.pickwickarms.example,165,Deluxe,"Spacious room with upgraded furnishings",3,120,2022-06-14,2022-06-22,960,2022-06-14,"Bank Transfer",240,36946873,"",3,"Mixed feelings","The location was great and the bed was comfortable, but the constant construction noise, lackluster breakfast, and unresponsive staff left a lot to be desired.",2022-06-19
female,Mrs,Halima,Hovland,9893,Framveien,Grinde,Hedmark,Norway,1471,37.0967,174.6921,+11:00,"Magadan, Solomon Islands, New Caledonia",halima.hovland@example.com,1949-03-19T21:00:20.622Z,75,59565528,FN,19034908845,NO,"Courtyard By Marriott",30,"By Marriott",Courtyard,MA,US,02138,info@courtyardbymarriott.example,"(617) 222-2222",http://www.courtyardbymarriott.example,241,"Presidential Suite","The ultimate in luxury, with multiple bedrooms, living areas, and premium amenities",6,758,2022-10-01,2022-10-12,8338,2022-10-01,"Bank Transfer",0,41712517,"",1,"Completely unacceptable","Our room hadn't been cleaned from the previous guests, there was no hot water, and the front desk staff were completely unhelpful. Ruined our weekend getaway.",2022-10-03
male,Mr,Dragomir,"Simeonović",7297,"Vašarska",Senta,"Raška",Serbia,57495,-6.1225,-66.7503,-12:00,"Eniwetok, Kwajalein",dragomir.simeonovic@example.com,1953-12-05T02:45:54.460Z,70,026-3544-361,SID,293642644,RS,"Pickwick Arms Hotel",8,"Pickwick Arms",Pickwick,Hamburg,DE,20149,info@pickwickarms.example,"(0151) 555-5555",http://www.pickwickarms.example,116,"Presidential Suite","The ultimate in luxury, with multiple bedrooms, living areas, and premium amenities",6,758,2023-06-16,2023-06-26,7580,2023-06-16,Cash,0,29149937,"",4,"Charming and comfortable getaway","This hotel had a lovely, intimate atmosphere. The staff were friendly, the pool area was relaxing, and it was the perfect location for exploring the city.",2023-07-06
male,Mr,Jovi,Roerdink,7863,Dassenstraat,Brakel,Zeeland,Netherlands,"0719 GX",23.9674,13.2428,+4:00,"Abu Dhabi, Muscat, Baku, Tbilisi",jovi.roerdink@example.com,1958-08-17T13:55:09.348Z,65,"(077) 8390755",BSN,02897489,NL,"Hampton Inn Madison Square Garden Area Hotel",151,"Madison Square Garden Area",Hampton,MA,US,02138,info@hamptoninn.example,"(617) 222-2222",http://www.hamptoninn.example,247,"Family Room","Spacious accommodations for the whole family, may include bunk beds or connecting rooms",5,156,2022-05-25,2022-06-08,2184,2022-05-25,"Credit Card",1638,29074999,"",5,"Gem in the heart of the city","This hotel was surprisingly affordable, perfectly located near all the main attractions, and the staff offered exceptional service. We'll definitely stay here again. ",2022-05-29
